timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523946832178786,-3,-2,2,-12,-25,-4,-8,-6
1523946832193822,-5,-11,-17,-3,-11,0,1,0
1523946832193822,6,3,5,-6,0,-23,-6,5
1523946832202848,-3,-5,-17,10,13,2,-3,-4
1523946832202848,-1,2,12,-43,-28,-3,-3,-1
1523946832215881,-2,3,12,33,23,20,3,-1
1523946832215881,-3,-4,7,18,-12,-27,-1,1
1523946832224905,3,1,-14,-1,-2,0,3,2
1523946832224905,-1,2,15,6,26,9,-1,0
1523946832230922,0,0,1,0,3,7,0,0
1523946832230922,0,-9,-25,-15,-14,-32,-13,-8
1523946832239945,-2,4,9,2,-6,-27,2,-1
1523946832239945,2,-2,-2,2,7,56,12,6
1523946832253986,-1,-1,-12,-13,-9,11,-2,-2
1523946832253986,-1,-1,-17,-10,-30,-21,-5,-2
1523946832262008,1,2,24,23,32,1,-1,1
1523946832262008,-1,-4,-14,-1,0,-18,-3,-2
1523946832276041,0,0,-8,2,-2,10,1,1
1523946832276041,-2,-3,-4,-31,-34,-36,-12,-4
1523946832286070,-1,8,11,15,-19,7,11,5
1523946832286070,0,-5,12,24,55,24,4,3
1523946832291081,-2,-6,-16,-14,-37,-33,-8,-3
1523946832291081,-2,1,-6,2,15,-5,5,0
1523946832300106,-6,-12,-21,-33,-29,-32,-15,-8
1523946832300106,1,2,5,10,-7,-18,-6,1
1523946832313143,1,3,14,-7,17,3,-2,0
1523946832313143,1,-3,-7,14,-10,2,0,-1
1523946832322164,-5,-2,-8,-2,17,-12,-7,-3
1523946832322164,0,8,9,-2,-15,21,5,-1
1523946832336202,0,-4,1,6,-1,-1,-4,2
1523946832336202,-1,-10,-9,1,6,4,3,-1
1523946832346231,0,-4,12,-12,12,31,3,4
1523946832346231,4,10,10,16,-9,-11,-4,-8
1523946832351250,-2,-4,-7,1,-27,-49,-3,-2
1523946832351250,1,6,8,5,61,88,14,11
1523946832360268,-1,4,19,30,-10,-2,-2,3
1523946832360268,-3,-11,-9,4,51,-7,2,-2
1523946832373299,0,0,-15,-29,-50,-10,-9,-7
1523946832373299,-1,-2,-2,-2,5,-22,0,0
1523946832382324,-1,2,9,-3,-4,19,5,0
1523946832382324,1,6,8,-6,-5,3,-4,-2
1523946832396364,-3,-6,-9,0,-30,-28,9,-1
1523946832396364,-3,-1,14,5,79,16,1,-2
1523946832404384,-1,-14,-42,-21,-10,-7,-13,-7
