timestamp,x,y,z
1523946843840791,21.375,-2.25,1.5
1523946843863850,34.5,-4.8125,5.125
1523946843877885,53.875,-10.8125,6.875
1523946843900947,63.9375,-14.4375,8.5
1523946843924014,66.5625,-15.6875,-0.5
1523946843938044,42.5,-10.3125,-7.625
1523946843961108,12.25,-9.5,-4.625
1523946843984170,-5.75,-5.1875,-0.3125
1523946843998205,-4.875,-0.4375,2.75
1523946844021266,6,4,2.875
1523946844044328,4.4375,4.375,0.9375
1523946844058367,-5.125,3.9375,3.1875
1523946844080424,-8.75,5.25,5
1523946844104488,-3.0625,5.5625,3.25
1523946844118539,4.3125,6.75,0.25
1523946844140593,13.75,5.3125,-0.75
1523946844164647,13.5625,3.0625,-0.875
1523946844178685,8.5,1.3125,-1
1523946844200745,3.625,-0.3125,-1
1523946844223812,-2.375,-1.5625,-0.125
1523946844238847,-8.5625,-3.25,0.1875
1523946844260906,-12.6875,-4.0625,2.5
1523946844283965,-11.5625,-1.875,-0.625
1523946844298003,-10.8125,-1.75,-0.9375
1523946844321065,-8.875,-0.625,-1.5625
1523946844344125,-10.6875,-0.625,-3.0625
1523946844358163,-13.9375,-0.125,-2.625
1523946844381223,-8.125,0.625,-1.6875
1523946844404287,-4.1875,0.375,-2.625
1523946844418334,-3.625,-0.75,-4.3125
1523946844440390,-4.8125,-2.75,-4.8125
1523946844464446,-12.75,-3.5625,-4.5
1523946844478483,-14.125,-3.125,-1.5625
1523946844500541,-10.875,-3.75,-2.3125
1523946844523606,-7.75,-5.875,-3.4375
1523946844538643,-8.375,-6.625,-4.1875
1523946844560703,-11.125,-6.625,-4.5625
1523946844583762,-13.625,-7.875,-4.1875
1523946844598802,-13.1875,-7.0625,-4
1523946844620863,-9.1875,-6.4375,-3.75
1523946844643925,-5.125,-6.4375,-3.75
1523946844657959,-3.5625,-6,-3.0625
1523946844681022,-4.0625,-4.75,-3.3125
1523946844704083,-6.375,-5.4375,-5.3125
1523946844718129,-7.875,-4.6875,-1.75
1523946844741184,-6.625,-3.375,-5.5625
1523946844763241,-3.8125,-4.0625,-3.3125
1523946844778280,0.0625,-3.75,-2.4375
1523946844801344,-1.125,-4.1875,-4.8125
1523946844823404,-4.4375,-3.875,-3.4375
1523946844838440,-5.1875,-1.625,-2.5625
1523946844860499,-2.375,-1.5625,-1.3125
1523946844883561,-0.3125,-0.3125,-1.5625
1523946844898600,1.5,0.8125,-1.0625
1523946844920660,-1.3125,-0.125,-1.625
1523946844943720,-4.375,-0.375,-2.125
1523946844958759,-5.6875,1.25,-2.3125
1523946844980818,-1.6875,0.5,-0.5625
1523946845002876,0.375,0.5,-2
1523946845018922,-1.625,2.4375,-1.5625
1523946845040979,-4.5,3.1875,-1.0625
1523946845063038,-4.4375,1.75,0.125
1523946845078075,-2,3.875,-1.125
1523946845101152,-3.75,1.5,-2
1523946845123202,-2.6875,-0.4375,-0.9375
1523946845138237,-0.9375,0.9375,1.375
1523946845161298,-0.1875,0.6875,0.5
1523946845183357,-1.125,1.3125,0.1875
1523946845198396,-2.4375,2.3125,1.25
1523946845220455,-2.0625,1.375,0.375
1523946845243517,-0.125,0.25,-0.3125
1523946845258556,-0.4375,-1.3125,-0.9375
1523946845280616,-1.1875,-2,1.1875
1523946845303677,-0.0625,-0.9375,1.6875
1523946845318718,-0.375,0.25,1.6875
1523946845340776,-2.5625,-0.8125,1.8125
1523946845363836,-4.1875,-1.625,-0.125
1523946845377873,-2.375,-0.875,0
1523946845400943,1.125,1.0625,0.1875
1523946845422998,0.3125,1.625,0.25
1523946845446055,-3.3125,3.5,0.8125
1523946845461095,-5.875,4.3125,1.1875
1523946845483154,-4,3.9375,-0.6875
1523946845506219,0.125,2.75,-0.75
1523946845521255,1.125,2,-0.6875
1523946845543314,0.8125,0.75,-1.9375
1523946845566377,-1.75,-0.5625,-2.9375
1523946845580413,-1.125,0.125,-1.5
1523946845603476,1.4375,1.6875,-0.3125
1523946845626537,1.5625,2.0625,-0.75
1523946845640573,-2.5625,-1.375,-1.1875
1523946845663633,-7.25,-3.6875,-1.375
1523946845685693,-2.375,-3.8125,0.875
1523946845700735,2.9375,-3.625,0.875
1523946845723793,4.0625,-2.1875,-0.0625
1523946845745852,0.875,-0.6875,1.25
1523946845760894,-4.125,0.5625,1.375
1523946845782949,-6.375,0.8125,0.5625
1523946845806017,-4.3125,1.6875,-0.875
1523946845821052,-3.5,2.0625,-1.375
1523946845843110,-3.75,1.3125,-2.125
1523946845866171,-3.5625,-0.6875,-0.0625
1523946845881212,1.25,-0.6875,0.875
1523946845903270,1.375,-0.375,0.8125
1523946845926332,1.25,0.25,0.8125
1523946845940369,-1.625,0.5625,1.5625
1523946845963431,-6.25,0,1.25
1523946845985491,-8.5625,-1.375,2.3125
1523946846000563,-2.25,-3.6875,4.0625
1523946846023590,4.4375,-5.625,5.5625
1523946846045649,2.0625,-8.875,-0.8125
1523946846060690,-3.0625,-9.75,1.5
1523946846083769,-3.875,-9.5,2.4375
1523946846105811,-4.125,-6.375,1.25
1523946846120850,-2.4375,-3.6875,0.25
1523946846142907,-6.5,0.1875,0.4375
1523946846165968,-9.125,6.375,0.625
1523946846181008,-12.9375,7.375,-0.375
1523946846203068,-11.0625,9.0625,0.5
1523946846226129,-8.875,8.375,0
1523946846241168,-6.125,6.25,1.5
1523946846263228,-4.25,3.875,2.0625
1523946846286289,0.125,0.4375,1.1875
1523946846301331,-0.25,0.875,1.9375
1523946846323390,1.125,0.4375,0.875
1523946846345448,3.0625,1.4375,0.4375
1523946846360486,2.3125,1.75,0.625
1523946846383581,1.3125,1.4375,-0.125
1523946846405613,0.25,2.9375,1.8125
1523946846420646,2.4375,5.4375,1.9375
1523946846443707,4.25,3.125,1
1523946846465764,2.1875,2.125,2.6875
1523946846482815,0.75,1.4375,1.375
1523946846503868,-0.5625,0.875,0.6875
1523946846525927,-0.9375,0.9375,0.5625
1523946846541969,-1.4375,1.0625,-0.375
1523946846563025,-2.4375,2.1875,-1.125
1523946846586088,-2.1875,1.125,-1.25
1523946846602127,-2.1875,-0.375,-2.8125
1523946846623185,-3.0625,-1.625,-3.4375
1523946846646244,-0.5625,-2.5625,-2.75
1523946846670310,3.125,-4.8125,-5.25
1523946846683353,-0.1875,-5.875,-5.6875
1523946846706407,1.625,-2.9375,-2.3125
1523946846722463,7.25,-1.3125,-1.625
1523946846743505,3.0625,-1.9375,0.75
1523946846765563,-3.6875,-2.875,-0.0625
1523946846782610,-5.5625,-5.0625,0.125
1523946846803664,-2.0625,-4.25,0.3125
1523946846825727,4.0625,-2.625,0.6875
1523946846841766,3.375,-0.8125,-0.125
1523946846862822,-2.125,-0.0625,1.1875
1523946846885883,-3.9375,0.5,2.625
1523946846901926,-0.75,1.0625,3.5
1523946846922982,4,1.3125,3.6875
1523946846946042,3.75,0.4375,3.25
1523946846968103,2.1875,-0.875,2.625
1523946846983144,3,-1.4375,4
1523946847006202,3.0625,-1.875,4.3125
1523946847028260,3.125,-1.625,3.9375
1523946847043302,3.8125,-1.3125,2.25
1523946847066363,6.375,-0.9375,2.625
1523946847089425,8.75,0.25,3.25
1523946847103461,11.9375,0.125,4.875
1523946847125519,14.3125,1,4.1875
1523946847148581,17.1875,1.0625,6.75
1523946847163622,24.1875,3.25,9.3125
1523946847185679,22.875,1.125,11.125
1523946847208740,12.125,-1.0625,3.5
1523946847223781,0.625,-1.375,6.3125
1523946847245841,13.9375,1.8125,11.5625
1523946847267900,33.4375,3.5625,10.5
1523946847282942,35.6875,2.375,12.375
1523946847306000,26.5625,0.5,12.5
1523946847328058,13.6875,-1.875,13.625
1523946847343098,14.1875,0.0625,16.875
1523946847366163,19.9375,1.6875,12.125
1523946847388220,13.6875,-1.5625,5
1523946847405263,-4.5625,-5.25,1.0625
1523946847426320,-12.8125,-6.875,3
1523946847448377,-11.4375,-6.125,-3.5625
1523946847464422,-18.9375,-5.9375,-7.4375
1523946847485477,-32.25,-7.8125,-7.625
1523946847508538,-34.75,-7.9375,-5.0625
1523946847524580,-18.4375,-7.375,-2.5
1523946847545639,-1.5,-5.5625,-6.4375
1523946847568697,-10.9375,-7.9375,-8.8125
1523946847584740,-24.375,-6.125,-6.5625
1523946847605796,-19.9375,-5.0625,-4.5
1523946847627857,-6.4375,-4.25,-5.3125
1523946847644901,-12.5625,-3.4375,-8.3125
1523946847665968,-25.5625,-3.375,-9.625
1523946847688016,-30.5625,-3.8125,-11.875
1523946847705063,-24.625,-1.5625,-12.4375
1523946847726117,-13.875,0.25,-13.125
1523946847748174,-14.8125,1.6875,-17.875
1523946847765221,-27.75,0.25,-18
1523946847786277,-28.125,-4.25,-11.875
1523946847808335,-14.5,-2.9375,-2.9375
1523946847824380,-0.8125,-1.8125,-5.875
1523946847845434,-3.3125,-1.4375,-7.8125
1523946847868496,-25.125,-0.8125,-9
1523946847884538,-32.625,-0.5,-4.6875
1523946847905593,-23.4375,0.25,-2.9375
1523946847928656,-10.1875,-1.6875,-3
1523946847944697,-8.3125,-2.3125,-3.0625
1523946847965757,-7.125,-1.125,1.5
1523946847988816,2.875,0.3125,4.1875
1523946848004861,8.9375,-0.625,7.6875
1523946848025912,12.8125,0.0625,9.4375
1523946848047971,7,-4.25,3
1523946848065020,3.1875,-4.0625,4.0625
1523946848086074,18.875,-1.375,6.8125
1523946848108132,29.4375,-0.1875,6.1875
1523946848131193,22.6875,-1,7.5
1523946848146233,16.75,0.3125,9.25
1523946848168292,20,-0.375,11.4375
1523946848191354,24.5,-1.25,10.3125
1523946848205390,18,-1.25,7.8125
1523946848228452,11.625,-0.9375,10.0625
1523946848250511,14.3125,0.125,7.5625
1523946848265553,14.5,-0.375,5
1523946848288613,10.1875,-3.3125,4.3125
1523946848304655,-3.5,-5.125,1.1875
1523946848327716,-3.8125,-2.625,3.75
1523946848348773,4.6875,-2.25,1.3125
1523946848364815,8.375,-2.625,-1.4375
1523946848386874,-1.8125,-3.375,-1
1523946848407931,-6.4375,0.0625,-2
1523946848424975,-5.6875,-0.8125,2
1523946848447033,1.3125,-0.125,6
1523946848468090,1.6875,-1.1875,7.125
1523946848491153,-3.875,0.75,4.875
1523946848507193,-8.375,-0.875,1.125
1523946848528250,-12,-3.5,-2.5625
1523946848551311,-11.875,-5.5,0.0625
1523946848567353,-6.8125,-5.8125,0.5
1523946848588412,-4.3125,-4.8125,-3.9375
1523946848610467,-6.75,-3.5,-6.3125
1523946848627512,-11.25,-2,-8.5625
1523946848648576,-11.4375,1.75,-6
1523946848670635,-8.25,5.125,-3.8125
1523946848687675,-5.6875,6.625,-6.875
1523946848708731,4.8125,4.75,-7.1875
1523946848730790,25.6875,2.4375,-3.0625
1523946848746831,45,-0.625,-1.3125
1523946848767888,53.875,5.3125,-0.0625
1523946848790949,55.0625,14.625,5.3125
1523946848806989,60.75,20,9.125
1523946848828046,60.875,22.5625,10.125
1523946848851108,60.5625,21.375,14.3125
1523946848867151,55,26,14.8125
1523946848888208,61.3125,22.25,15.875
1523946848911267,60.5625,21.4375,13.1875
1523946848927310,57.875,19.5,15.5625
1523946848948374,51.3125,16.1875,18.3125
1523946848970432,37.5,15.25,18.375
1523946848987471,30,11.4375,16.5625
1523946849008527,24.1875,0.9375,17.5625
1523946849030584,30.4375,-4.5,25.5
1523946849047630,58.875,0.375,25.375
1523946849068686,80.75,-0.625,17.1875
1523946849090746,86.625,-7.75,15.25
1523946849106787,80.875,-18.5,20.125
1523946849127842,49.75,-21,16.625
1523946849150904,43.5,-24,11.625
1523946849166949,54.75,-31.8125,14.625
1523946849188005,60.0625,-33.125,10.3125
1523946849211065,52,-25.1875,2.6875
1523946849227107,40.625,-24.5,0.125
1523946849248180,44.0625,-32.75,8.75
1523946849271226,54.4375,-25.75,8.125
1523946849287266,50.75,-19.1875,4.125
1523946849309326,39,-19.1875,3.875
1523946849331388,25.5625,-20.4375,3.75
1523946849347430,20.5,-21,6.1875
1523946849369491,31.4375,-17.625,4.125
1523946849390543,37.375,-13.625,0.1875
1523946849407588,26.5,-9.875,0.875
1523946849429646,13.875,-9.125,-0.75
1523946849450704,11.375,-10.25,-2.1875
1523946849467747,16.875,-7.875,-4.1875
1523946849489805,17.5625,-5,-1.6875
1523946849510862,13.0625,-1.4375,-1.875
1523946849526903,8.25,-0.375,-2.5
1523946849549965,6.5,-3.75,-3.875
1523946849571023,7.5,-4.6875,-6.5
1523946849587063,11.375,0.9375,-3.9375
1523946849610124,10.0625,2.8125,-3.75
1523946849631189,-3.0625,-0.5,1.8125
1523946849647224,-1.6875,-0.75,3.375
1523946849670288,8.75,2,2.1875
1523946849691342,7.8125,3.5,1.3125
1523946849707386,6.0625,4.375,0.25
1523946849729443,-2,3.9375,0.1875
1523946849750499,4.125,2.125,-0.8125
1523946849767544,9.375,3.5,-0.625
1523946849789602,8.1875,3.1875,-1.1875
1523946849810658,2.5,-3.875,-1.4375
1523946849827704,4.8125,-5.0625,-1.375
1523946849849763,3.6875,-5.75,-3.125
1523946849870821,4.125,-5.9375,-4.6875
1523946849886862,-0.875,-4.5,-5.75
1523946849909921,-1,-2.0625,-6.1875
1523946849930981,2.25,-1.3125,-6.4375
1523946849953041,1.5625,-1.4375,-2.3125
1523946849970083,-2.6875,-2.125,-1.125
1523946849991138,-1.4375,-1.1875,1.9375
1523946850013196,-1.8125,-3.125,1.6875
1523946850030251,0.3125,-2.9375,-0.3125
1523946850051298,-4.5625,-3.375,-0.25
1523946850073356,-4.6875,-3.375,1.5
1523946850089399,1.125,-2.6875,3
1523946850110457,1.75,-3.875,3.1875
1523946850133517,4.1875,-2,2.4375
1523946850149559,1.8125,-2.6875,3.5625
1523946850170617,1.5625,-2.9375,3.625
1523946850193676,2.375,-2.4375,1.75
1523946850209718,3.5625,-1.875,2.25
1523946850231778,1.375,-1.5625,3.75
1523946850261857,-2.3125,-2.6875,3.75
1523946850269880,-1.8125,-3.9375,4.125
1523946850291938,-3,-5.3125,0.8125
1523946850314007,-3.75,-7.25,0.25
1523946850330050,-5.3125,-7.5625,-0.125
1523946850352105,-11.4375,-4.4375,-6.25
1523946850373154,-6.5625,-2.125,-6.75
1523946850390198,-2.625,-1.875,-3.6875
1523946850412257,-9.25,3.3125,-4.0625
1523946850433314,-14.0625,5.3125,-8.375
1523946850449356,-14.3125,7.25,-9.5625
1523946850472419,-15.125,6.75,-11.5625
1523946850493474,-8.5,4.375,-10.8125
1523946850509515,-7,1.5625,-9.9375
1523946850532577,-14.8125,1.0625,-9.75
1523946850553636,-20.125,-1.5,-6.75
1523946850569677,-25.75,-0.0625,-8.6875
1523946850592740,-17.0625,-0.125,-6.0625
1523946850613800,3.625,-0.125,-10.125
1523946850629841,-2.5,-0.8125,-11.9375
1523946850651896,-13.75,-0.625,-9.625
1523946850672950,-21.625,2.4375,-9.9375
1523946850689997,-18,2.1875,-10.0625
1523946850712054,-13.0625,2.4375,-9.6875
1523946850733111,-13.25,3.0625,-9.625
1523946850750157,-24.1875,-1.6875,-5.5
1523946850773219,-22.0625,-4.625,-1.25
1523946850793272,-11.375,-3.5625,-5.125
1523946850810316,-7.5625,-7.0625,-4.75
1523946850832375,-11.625,-7.375,-4.1875
1523946850853432,-19.0625,-4.5,-3.75
1523946850869475,-17.4375,-9.625,6.625
1523946850892534,-11.875,-9,14.3125
1523946850913594,-30.875,-6,13.0625
1523946850929637,-30.125,-5.5625,19.4375
1523946850952696,-17.75,-1.75,18.9375
1523946850973751,-9.5,-0.75,14.5
1523946850989794,-9.4375,-1.6875,11.9375
1523946851011851,-20.875,-3.4375,12.5
1523946851041932,-25.625,-2.125,15.1875
1523946851049953,-19.125,0.25,16.375
1523946851072011,-9.625,0.0625,17.4375
1523946851093068,-13.125,0,19.8125
1523946851116129,-23,-1.3125,24.0625
1523946851132172,-26.375,1.0625,28.75
1523946851153232,-14,3.5625,35.9375
1523946851176290,-11.5625,1.8125,36.25
1523946851192333,-19.5,-1.1875,37.4375
1523946851214390,-22.4375,-2.125,29.8125
1523946851235448,-15.5625,-3.625,29.5625
1523946851252492,-6.9375,-3.5625,26.625
1523946851274550,-10.375,-5.375,24.8125
