timestamp,x,y,z,w
1523946844080424,-0.146973,0.817993,-0.536133,-0.147949
1523946844104488,-0.14563,0.818054,-0.536255,-0.148254
1523946844118539,-0.144836,0.817261,-0.537476,-0.148926
1523946844140593,-0.144714,0.815857,-0.539551,-0.149231
1523946844164647,-0.144836,0.814636,-0.541443,-0.149231
1523946844178685,-0.144958,0.814026,-0.542358,-0.148926
1523946844200745,-0.145081,0.813843,-0.542664,-0.148621
1523946844223812,-0.145264,0.814392,-0.54187,-0.148438
1523946844238847,-0.145447,0.815491,-0.540283,-0.148193
1523946844260906,-0.145325,0.816711,-0.538452,-0.148071
1523946844283965,-0.145508,0.817749,-0.536682,-0.148499
1523946844298003,-0.145691,0.818665,-0.535156,-0.148926
1523946844321065,-0.145874,0.819397,-0.533875,-0.149475
1523946844344125,-0.146484,0.820374,-0.531921,-0.150391
1523946844358163,-0.146545,0.821472,-0.529968,-0.151123
1523946844381223,-0.146423,0.822144,-0.52887,-0.151489
1523946844404287,-0.146606,0.82251,-0.528198,-0.151733
1523946844418334,-0.147095,0.822815,-0.527466,-0.151978
1523946844440390,-0.148071,0.823364,-0.526245,-0.152283
1523946844464446,-0.148743,0.824646,-0.523987,-0.152466
1523946844478483,-0.148682,0.825989,-0.521973,-0.152283
1523946844500541,-0.148926,0.826965,-0.520447,-0.152039
1523946844523606,-0.149658,0.827698,-0.519104,-0.151672
1523946844538643,-0.150635,0.828491,-0.517761,-0.151306
1523946844560703,-0.151672,0.829529,-0.515747,-0.151184
1523946844583762,-0.152649,0.830811,-0.51355,-0.150879
1523946844598802,-0.153564,0.831848,-0.511536,-0.150757
1523946844620863,-0.154358,0.832703,-0.510071,-0.15033
1523946844643925,-0.155212,0.833252,-0.509155,-0.149658
1523946844657959,-0.155884,0.833679,-0.508484,-0.148865
1523946844681022,-0.156494,0.834229,-0.507568,-0.148254
1523946844704083,-0.157471,0.834839,-0.506348,-0.147827
1523946844718129,-0.157898,0.835571,-0.505127,-0.147461
1523946844741184,-0.158875,0.835999,-0.503967,-0.147766
1523946844763241,-0.15979,0.836121,-0.503479,-0.148071
1523946844778280,-0.160583,0.835999,-0.503418,-0.14801
1523946844801344,-0.161804,0.835999,-0.502991,-0.148132
1523946844823404,-0.16272,0.836182,-0.502258,-0.148438
1523946844838440,-0.163208,0.836487,-0.501465,-0.148865
1523946844860499,-0.163574,0.83667,-0.501038,-0.148987
1523946844883561,-0.16394,0.836548,-0.501038,-0.149353
1523946844898600,-0.164246,0.836304,-0.501221,-0.14978
1523946844920660,-0.164612,0.836426,-0.500793,-0.150146
1523946844943720,-0.164917,0.836853,-0.499817,-0.150513
1523946844958759,-0.164978,0.83728,-0.498962,-0.151001
1523946844980818,-0.164856,0.837524,-0.498657,-0.15094
1523946845002876,-0.164978,0.837585,-0.498535,-0.150818
1523946845018922,-0.164673,0.837708,-0.498413,-0.150879
1523946845040979,-0.164185,0.838196,-0.497559,-0.151062
1523946845063038,-0.163635,0.838562,-0.497131,-0.151062
1523946845078075,-0.163208,0.838562,-0.497192,-0.15155
